,0,1,2
0,03.java,02.java,0.238013698630137
1,07.java,02.java,0.23265306122448978
2,03.java,09.java,0.20209580838323354
3,07.java,09.java,0.20209580838323354
4,12.java,09.java,0.20209580838323354
5,07.java,06.java,0.19477286869943994
6,12.java,05.java,0.1896646509070918
7,09.java,05.java,0.18562874251497005
8,03.java,06.java,0.17294520547945205
9,08.java,06.java,0.16707218167072183
10,07.java,03.java,0.13877551020408163
11,04.java,05.java,0.13729809104258445
12,09.java,06.java,0.12724550898203593
13,03.java,08.java,0.1192214111922141
14,12.java,08.java,0.1192214111922141
15,04.java,08.java,0.1192214111922141
16,09.java,08.java,0.1192214111922141
17,07.java,08.java,0.1192214111922141
18,11.java,08.java,0.1192214111922141
19,09.java,11.java,0.11089743589743589
20,03.java,11.java,0.11089743589743589
21,10.java,05.java,0.11016144349477683
22,09.java,02.java,0.11002994011976049
23,04.java,07.java,0.10792951541850221
24,04.java,12.java,0.10253082414016872
25,08.java,05.java,0.10137875101378752
26,04.java,09.java,0.09397944199706314
27,04.java,11.java,0.09177679882525698
28,07.java,05.java,0.08816326530612245
29,10.java,12.java,0.08547008547008547
30,10.java,09.java,0.08547008547008547
31,12.java,11.java,0.08500973393900065
32,02.java,06.java,0.0831447963800905
33,02.java,08.java,0.0831447963800905
34,07.java,11.java,0.07918367346938776
35,10.java,03.java,0.07692307692307693
36,11.java,06.java,0.06217948717948718
37,02.java,11.java,0.05486425339366516
38,10.java,02.java,0.045584045584045586
39,04.java,06.java,0.044787077826725405
40,06.java,05.java,0.037958929682638455
41,10.java,06.java,0.03513770180436847
42,02.java,05.java,0.015271493212669683
43,03.java,12.java,0.0
44,10.java,07.java,0.0
45,11.java,05.java,0.0
46,04.java,03.java,0.0
47,04.java,01.java,0.0
48,01.java,05.java,0.0
49,04.java,02.java,0.0
50,01.java,06.java,0.0
51,01.java,08.java,0.0
52,01.java,11.java,0.0
53,01.java,02.java,0.0
54,01.java,09.java,0.0
55,07.java,01.java,0.0
56,12.java,06.java,0.0
57,10.java,01.java,0.0
58,12.java,02.java,0.0
59,12.java,01.java,0.0
60,10.java,11.java,0.0
61,10.java,08.java,0.0
62,03.java,05.java,0.0
63,03.java,01.java,0.0
64,07.java,12.java,0.0
65,04.java,10.java,0.0
